bureau,fund,personnel,external_ms,internal_ms,capital_outlay,total
Portland Fire & Rescue,Fire Special Revenue Fund,1460000,0,0,0,1460000
Portland Fire & Rescue,General Fund,166471053,9155019,12946370,6500000,195072442
Portland Fire & Rescue,Grants Fund,2377245,220000,0,0,2597245
Portland Housing Bureau,Affordable Housing Fund,741763,25579567,591727,0,26913057
Portland Housing Bureau,Community Development Block Grant Fund,1794432,7314742,410000,0,9519174
Portland Housing Bureau,General Fund,6721588,28305580,1174880,0,36202048
Portland Housing Bureau,Grants Fund,1965731,54878037,294960,0,57138728
Portland Housing Bureau,HOME Grant Fund,436722,15537882,0,0,15974604
Portland Housing Bureau,Housing Investment Fund,2096727,8332289,1227526,0,11656542
Portland Housing Bureau,Housing Property Fund,116130,6035863,355161,0,6507154
Portland Housing Bureau,Inclusionary Housing Fund,1170445,6262856,20873,0,7454174
Portland Housing Bureau,PDX Clean Energy Fund,1139382,28161773,293441,0,29594596
Portland Housing Bureau,Tax Increment Financing Reimbursement Fund,0,38457068,3000,0,38460068
Portland Office of Emergency Management,General Fund,3376834,652176,1401570,0,5430580
Portland Office of Emergency Management,Grants Fund,1392756,2551725,19744,0,3964225
Portland Parks & Recreation,2020 Parks Local Option Levy Fund,0,0,0,0,0
Portland Parks & Recreation,General Fund,112616326,36836874,23271888,2497708,175222796
Portland Parks & Recreation,Golf Fund,4635008,10420701,1300315,0,16356024
Portland Parks & Recreation,Grants Fund,274432,4215786,3152,2792560,7285930
Portland Parks & Recreation,Parks Capital Improvement Program Fund,5329326,28578810,5291669,27328156,66527961
Portland Parks & Recreation,Parks Endowment Fund,0,53184,0,0,53184
Portland Parks & Recreation,PDX Clean Energy Fund,7501325,2652778,1136620,2123450,13414173
Portland Parks & Recreation,Portland International Raceway Fund,1103385,1029970,241060,0,2374415
Portland Parks & Recreation,Portland Parks Memorial Fund,2138608,11368353,4001606,75258,17583825
Portland Permitting & Development,Cannabis Licensing Fund,755396,157965,698813,0,1612174
Portland Permitting & Development,Development Services Fund,50081265,4988320,19850161,0,74919746
Portland Permitting & Development,PDX Clean Energy Fund,3636194,0,0,0,3636194
Portland Permitting & Development,,54472855,5146285,20548974,0,80168114
Portland Police Bureau,General Fund,237318366,14393049,52715243,0,304426658
